"SRR10075970"	"SRR10075971"	"SRR10075972"	"SRR10075973"	"SRR10075974"	"SRR10075975"
"1"	"Hjurp"	"Hjurp"	"Hjurp"	"Hjurp"	"Hjurp"	"Hjurp"
"2"	"Gm26917"	"Gm26917"	"Gm26917"	"Gm26917"	"Gm26917"	"Gm26917"
"3"	"Gm5835"	"Gm5835"	"Gm5835"	"Gm5835"	"Gm5835"	"Gm5835"
"4"	"Gm12183"	"Mroh2a"	"Gm12183"	"Gm12183"	"Gm12183"	"Rpa1"
"5"	"Eef1a1-ps1"	"Gm12183"	"Gm13456"	"Eef1a1-ps1"	"Rpa1"	"Ighv1-4"
"6"	"Gm13456"	"Gm3365"	"Ighv1-20"	"Rpa1"	"Gm13456"	"Igkv6-23"
"7"	"Rpa1"	"Gm13456"	"Rpa1"	"Igkv6-25"	"Gm13050"	"Gm13456"
"8"	"Gm6170"	"Rpa1"	"Gm13050"	"Gm13456"	"Ighv1-75"	"Cdk8"
"9"	"Ankrd28"	"Gm8730"	"Igkv6-25"	"Cdk8"	"Cdk8"	"Gm8730"
"10"	"Gm1840"	"Cdk8"	"Ighv1-59"	"Gm8730"	"Gm8730"	"Gm12183"
